,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Peninsular Malaysia,Peninsular Malaysia,LOC,0.02083333,0.66666667,en,1.00000000,,-1,,,,,,
Mount Abundance,Mount Abundance,GPE,0.10000000,0.40000000,en,1.00000000,,-1,,,,,,
Kumasi,Kumasi,GPE,0.00000000,0.00000000,en,1.00000000,4266544-9,2298890,X,6.68848000,-1.62443000,AFRICA,Ghana,WAF
Mumbai,Mumbai,GPE,-0.16666667,0.16666667,en,1.00000000,10013721-0,1275339,X,19.07277700,72.88250000,ASIA,India,SAS
Delaware,Delaware,GPE,0.19561688,0.46753247,en,1.00000000,4085407-3,4142224,X,39.90000000,-75.49992000,NORTH-AMERICA,United States,ENA
South Carolina,South Carolina,GPE,-0.05000000,0.40000000,en,1.00000000,4055656-6,4597040,X,34.30000000,-81.00000000,NORTH-AMERICA,United States,ENA
Glasgow mount,Glasgow mount,GPE,0.90000000,0.90000000,en,1.00000000,,-1,,,,,,
the Kiskatinaw River,the Kiskatinaw River,LOC,-0.05000000,0.81250000,en,1.00000000,,-1,,,,,,
RUSTON,RUSTON,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
La.,La.,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Midlands,Midlands,GPE,-0.30000000,0.70000000,en,1.00000000,,-1,,,,,,
SC,SC,LOC,-0.30000000,0.70000000,en,1.00000000,,-1,,,,,,
the Indus Valley,the Indus Valley,LOC,0.03122294,0.52272727,en,1.00000000,,-1,,,,,,
BURLINGTON,BURLINGTON,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Mesopotamia,Mesopotamia,GPE,0.15000000,0.34666667,en,1.00000000,,-1,,,,,,
Indus,Indus,GPE,0.15000000,0.34666667,en,1.00000000,,-1,,,,,,
Moroccos Atlantic,Moroccos Atlantic,GPE,-0.25000000,0.20000000,en,1.00000000,,-1,,,,,,
K'tan,K'tan,GPE,0.00000000,0.10000000,en,1.00000000,,-1,,,,,,
Harappan,Harappan,LOC,-0.20000000,0.85000000,en,1.00000000,,-1,,,,,,
Jharkhand,Jharkhand,GPE,0.07142857,0.14285714,en,1.00000000,4364512-4,1444365,X,23.75000000,85.50000000,ASIA,India,SAS
Peop,Peop,GPE,0.05000000,0.12380952,en,1.00000000,,-1,,,,,,
East Africa,East Africa,GPE,0.15284091,0.55113636,en,1.00000000,,-1,,,,,,
Lewes,Lewes,GPE,0.19561688,0.46753247,en,1.00000000,,-1,,,,,,
oscillationsrecurring,oscillationsrecurring,GPE,0.30000000,0.45000000,en,1.00000000,,-1,,,,,,
unde…,unde…,GPE,0.14285714,0.28571429,en,1.00000000,,-1,,,,,,
Turlock,Turlock,GPE,0.50000000,1.00000000,en,1.00000000,,-1,,,,,,
Sheffield,Sheffield,GPE,-0.40000000,0.40000000,en,1.00000000,4118617-5,2638077,X,53.38297000,-1.46590000,EUROPE,United Kingdom,NEU
Kyrgyzstan,Kyrgyzstan,GPE,0.10000000,0.43333333,en,1.00000000,4030848-0,1527747,X,41.00000000,75.00000000,ASIA,Kyrgyzstan,WCA
Ann Arbor,Ann Arbor,GPE,0.10000000,0.43333333,en,1.00000000,,-1,,,,,,
Guwahati,Guwahati,GPE,0.00000000,0.50000000,en,1.00000000,4368296-0,1271476,X,26.18617000,91.75095000,ASIA,India,SAS
Islamic Republic,Islamic Republic,GPE,-0.10333333,0.50666667,en,1.00000000,,-1,,,,,,
Euroclear,Euroclear,GPE,0.00000000,0.11666667,en,1.00000000,,-1,,,,,,
Colorado River Basin,Colorado River Basin,LOC,0.20000000,0.20000000,en,1.00000000,,-1,,,,,,
MENA,MENA,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
KERRVILLE,KERRVILLE,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
TEXAS,TEXAS,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
the Guadalupe River,the Guadalupe River,LOC,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Annona squamosa,Annona squamosa,LOC,-0.25000000,1.00000000,en,1.00000000,,-1,,,,,,
London,London,GPE,0.06250000,0.43750000,en,1.00000000,4074335-4,2643743,X,51.50853000,-0.12574000,EUROPE,United Kingdom,NEU
Mahakali river,Mahakali river,LOC,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
West Country,West Country,GPE,-0.06666667,0.60000000,en,1.00000000,,-1,,,,,,
Wadi El-Raml,Wadi El-Raml,GPE,0.00000000,0.50000000,en,1.00000000,,-1,,,,,,
the LA Basin,the LA Basin,LOC,0.12500000,0.83333333,en,1.00000000,,-1,,,,,,
the River Park,the River Park,LOC,0.50000000,0.50000000,en,1.00000000,,-1,,,,,,
South Sudan,South Sudan,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Palisades,Palisades,LOC,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Whata Bod,Whata Bod,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Ras El Hekma,Ras El Hekma,GPE,0.00000000,0.50000000,en,1.00000000,,-1,,,,,,
Matrouh Governorate,Matrouh Governorate,GPE,0.00000000,0.50000000,en,1.00000000,,-1,,,,,,
Bristol,Bristol,GPE,-0.06666667,0.60000000,en,1.00000000,4090130-0,2654675,X,51.45523000,-2.59664900,EUROPE,United Kingdom,NEU
A.,A.,GPE,0.00000000,0.50000000,en,1.00000000,,-1,,,,,,
