,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Telangana,Telangana,GPE,0.00000000,0.00000000,en,2.80000000,,-1,,,,,,
Ethiopia,Ethiopia,GPE,0.16666667,0.22619048,en,2.80000000,4000639-6,337996,X,8.00000000,38.00000000,AFRICA,Ethiopia,NEAF
Southern Zambia,Southern Zambia,LOC,0.00000000,0.00000000,en,2.80000000,,-1,,,,,,
Bengaluru,Bengaluru,GPE,0.05357143,0.30238095,en,2.80000000,4004431-2,1277333,X,12.97194000,77.59368900,ASIA,India,SAS
Chennai,Chennai,GPE,0.05357143,0.30238095,en,2.80000000,5351481-6,1264527,X,13.08777700,80.27833300,ASIA,India,SAS
Wyoming,Wyoming,GPE,0.03571429,0.32440476,en,2.80000000,4067130-6,5843591,X,43.39999900,-107.50090000,NORTH-AMERICA,United States,WNA
Narmada,Narmada,GPE,0.00000000,0.00000000,en,2.80000000,,-1,,,,,,
Indore,Indore,GPE,-0.14285714,0.28571429,en,2.80000000,4368406-3,1269743,X,22.71791900,75.83329900,ASIA,India,SAS
Punjab,Punjab,GPE,-0.08184524,0.17113095,en,2.80000000,,-1,,,,,,
Tacoma,Tacoma,GPE,0.24090909,0.49945887,en,2.80000000,,-1,,,,,,
Christi,Christi,GPE,-0.13839286,0.61607143,en,2.80000000,,-1,,,,,,
Honolulu,Honolulu,GPE,-0.10714286,0.12500000,en,2.80000000,,-1,,,,,,
Mediterranean,Mediterranean,LOC,0.38800705,0.94179894,en,2.70000000,,-1,,,,,,
Greece,Greece,GPE,0.04700711,0.63618282,en,2.70000000,4022047-3,390903,X,39.00000000,22.00000000,EUROPE-AFRICA,Greece,MED
Germany,Germany,GPE,0.07572016,0.44753086,en,2.70000000,,-1,,,,,,
Labrador,Labrador,GPE,0.20092593,0.39166667,en,2.70000000,,-1,,,,,,
Newfoundland,Newfoundland,GPE,0.20092593,0.39166667,en,2.70000000,,-1,,,,,,
Southeast Asia,Southeast Asia,LOC,-0.79012346,0.86419753,en,2.70000000,,-1,,,,,,
Summerland,Summerland,GPE,0.00000000,0.11538462,en,2.60000000,,-1,,,,,,
Nova Scotia,Nova Scotia,LOC,0.19711538,0.90144231,en,2.60000000,4042713-4,6091530,X,45.49999900,-62.99864900,NORTH-AMERICA,Canada,ENA
Miami,Miami,GPE,-0.00732601,0.38644689,en,2.60000000,,-1,,,,,,
Southeast,Southeast,LOC,-0.28241758,0.61465201,en,2.60000000,,-1,,,,,,
Athens,Athens,GPE,-0.03571429,0.05769231,en,2.60000000,4003366-1,264371,X,37.97944900,23.71621900,EUROPE-AFRICA,Greece,MED
Southern California,Southern California,LOC,0.00833333,0.44038462,en,2.60000000,,-1,,,,,,
Panama,Panama,GPE,0.05244755,0.39117133,en,2.60000000,4044445-4,3703430,X,9.00000000,-80.00000000,CENTRAL-AMERICA,Panama,SCA
NEW DELHI,NEW DELHI,GPE,-0.06876457,0.43638306,en,2.60000000,,-1,,,,,,
New Delhi's,New Delhi's,GPE,0.13636364,0.48339161,en,2.60000000,,-1,,,,,,
NEW YORK,NEW YORK,GPE,0.04108392,0.75973841,en,2.60000000,,-1,,,,,,
France,France,GPE,0.23031136,0.54670330,en,2.60000000,,-1,,,,,,
Salt Lake City,Salt Lake City,GPE,-0.28782051,0.55384615,en,2.60000000,,-1,,,,,,
Gaza,Gaza,GPE,0.02000000,0.25833333,en,2.50000000,,-1,,,,,,
Louisiana,Louisiana,GPE,0.07454545,0.42181818,en,2.50000000,4036394-6,4331987,X,31.69999900,-92.99999900,NORTH-AMERICA,United States,CNA
West Asia,West Asia,LOC,0.01306217,0.32919974,en,2.40000000,,-1,,,,,,
Tripureshwor,Tripureshwor,GPE,0.00000000,0.10416667,en,2.40000000,,-1,,,,,,
Mars,Mars,LOC,0.13739478,0.94093013,en,2.40000000,,-1,,,,,,
CALGARY,CALGARY,GPE,-0.06408730,0.29523810,en,2.40000000,,-1,,,,,,
Iraq,Iraq,GPE,-0.22463768,1.88405797,en,2.30000000,,-1,,,,,,
Rockies,Rockies,LOC,-0.04669887,0.35144928,en,2.30000000,,-1,,,,,,
New South Wales,New South Wales,GPE,0.36176987,0.96475626,en,2.30000000,,-1,,,,,,
Spain,Spain,GPE,0.32319953,0.91499410,en,2.20000000,4055964-6,2510769,X,40.00000000,-4.00000000,EUROPE-AFRICA,Spain,MED
Melaka,Melaka,GPE,0.18750000,0.56565657,en,2.20000000,4037200-5,1734759,X,2.19600000,102.24049900,ASIA,Malaysia,SEA
Arctic,Arctic,LOC,-0.34185606,0.88257576,en,2.20000000,,-1,,,,,,
Egypt,Egypt,GPE,0.12190083,0.55633609,en,2.20000000,4000556-2,357994,X,27.00000000,30.00000000,AFRICA,Egypt,SAH
Maryland,Maryland,GPE,0.08008658,0.32539683,en,2.10000000,4037776-3,4361885,X,39.90000000,-76.74997000,NORTH-AMERICA,United States,ENA
New Jersey,New Jersey,GPE,0.37603930,1.36848073,en,2.10000000,4042004-8,5101760,X,40.16705900,-74.49987000,NORTH-AMERICA,United States,ENA
Ankara,Ankara,GPE,0.06132756,0.18855219,en,2.10000000,4002075-7,323786,X,39.91972200,32.85416600,EUROPE-AFRICA,Turkey,MED
Southwest,Southwest,LOC,0.30129870,0.65790043,en,2.00000000,,-1,,,,,,
Andhra,Andhra,GPE,0.00000000,0.00000000,en,2.00000000,4001934-2,1278629,X,16.00000000,79.00000000,ASIA,India,SAS
Alaska,Alaska,GPE,-0.42708333,1.09375000,en,2.00000000,4001016-8,5879092,X,64.80000000,-150.80000000,NORTH-AMERICA,United States,NWN
Ganderbal,Ganderbal,GPE,0.00000000,0.21250000,en,2.00000000,,-1,,,,,,
JAMMU,JAMMU,GPE,0.00000000,0.21250000,en,2.00000000,,-1,,,,,,
Massachusetts,Massachusetts,GPE,0.06250000,0.90000000,en,2.00000000,4037858-5,6254926,X,42.36565000,-71.10832000,NORTH-AMERICA,United States,ENA
Atlanta,Atlanta,GPE,1.20000000,1.60000000,en,2.00000000,4086063-2,4180439,X,33.74888800,-84.38777700,NORTH-AMERICA,United States,ENA
New York City,New York City,GPE,0.20765550,1.51031366,en,1.90000000,4042011-5,5128581,X,40.71416600,-74.00597000,NORTH-AMERICA,United States,ENA
Syria,Syria,GPE,-0.17763158,1.03289474,en,1.90000000,4058794-0,163843,X,35.00000000,38.00000000,EUROPE-AFRICA,Syria,MED
WASHINGTON,WASHINGTON,GPE,-0.25727671,1.59928230,en,1.90000000,,-1,,,,,,
Senegal,Senegal,GPE,0.00000000,0.00000000,en,1.90000000,4054529-5,2245662,X,14.00000000,-14.00000000,AFRICA,Senegal,WAF
The City of Dawson Creek,The City of Dawson Creek,GPE,0.03349282,0.62699362,en,1.90000000,,-1,,,,,,
Malaysia,Malaysia,GPE,-0.79949875,1.19047619,en,1.90000000,4037203-0,1733045,X,2.50000000,112.50000000,ASIA,Malaysia,SEA
DPRK,DPRK,GPE,0.06140351,0.40350877,en,1.90000000,,-1,,,,,,
Ontario,Ontario,GPE,1.05263158,1.05263158,en,1.90000000,4102089-3,6093943,X,49.25014000,-84.49983000,NORTH-AMERICA,Canada,ENA
Lalgudi,Lalgudi,GPE,0.05263158,0.21052632,en,1.90000000,,-1,,,,,,
Karauli,Karauli,GPE,0.00000000,0.00000000,en,1.90000000,,-1,,,,,,
Siberia,Siberia,LOC,0.05263158,0.52631579,en,1.90000000,,-1,,,,,,
CAMDEN,CAMDEN,GPE,0.08544087,0.32490317,en,1.90000000,,-1,,,,,,
BJP,BJP,GPE,-0.00877193,0.18421053,en,1.90000000,,-1,,,,,,
Bairagiwala village,Bairagiwala village,GPE,-0.11403509,0.18421053,en,1.90000000,,-1,,,,,,
Sichuan province,Sichuan province,GPE,0.44019139,0.71291866,en,1.90000000,,-1,,,,,,
CHENGDU,CHENGDU,GPE,0.44019139,0.71291866,en,1.90000000,,-1,,,,,,
Central Anatolia,Central Anatolia,LOC,0.07394519,0.37407569,en,1.90000000,,-1,,,,,,
Firebaugh,Firebaugh,GPE,0.00000000,0.52631579,en,1.90000000,,-1,,,,,,
Tunga Dam,Tunga Dam,GPE,0.00000000,0.00000000,en,1.90000000,,-1,,,,,,
Theni,Theni,GPE,0.08421053,0.28421053,en,1.90000000,,-1,,,,,,
Pune,Pune,GPE,0.00000000,0.00000000,en,1.90000000,16035299-X,1259229,X,18.51944400,73.85527700,ASIA,India,SAS
Krishna district,Krishna district,LOC,-0.07205514,0.25375940,en,1.90000000,,-1,,,,,,
the Konya Plain,the Konya Plain,LOC,0.07394519,0.37407569,en,1.90000000,,-1,,,,,,
Yunnan Province,Yunnan Province,GPE,-0.26315789,1.05263158,en,1.90000000,,-1,,,,,,
Kerian,Kerian,GPE,0.12280702,0.70175439,en,1.90000000,,-1,,,,,,
Chiba Prefecture,Chiba Prefecture,LOC,0.08293461,0.79106858,en,1.90000000,,-1,,,,,,
Thane,Thane,GPE,0.06151743,0.19252677,en,1.90000000,,-1,,,,,,
vineyards,vineyards,LOC,0.04775828,0.53801170,en,1.90000000,,-1,,,,,,
South Africa’s,South Africa’s,GPE,0.22966507,0.98046252,en,1.90000000,,-1,,,,,,
Messinia,Messinia,GPE,0.05263158,0.17105263,en,1.90000000,,-1,,,,,,
N.J.,N.J.,GPE,0.08544087,0.32490317,en,1.90000000,,-1,,,,,,
Wash.,Wash.,GPE,0.06151743,0.19252677,en,1.90000000,,-1,,,,,,
Ecuador,Ecuador,GPE,-0.04122522,0.77067669,en,1.90000000,4129321-6,3658394,X,-2.00000000,-77.50000000,SOUTH-AMERICA,Ecuador,NWS
Bahir Dar,Bahir Dar,GPE,0.24561404,0.33333333,en,1.90000000,,-1,,,,,,
Cheyenne,Cheyenne,GPE,0.00000000,0.21491228,en,1.90000000,,-1,,,,,,
Pinus longaeva,Pinus longaeva,LOC,0.84210526,0.78947368,en,1.90000000,,-1,,,,,,
DAKAR,DAKAR,GPE,-0.00657895,0.93421053,en,1.90000000,,-1,,,,,,
Jigawa,Jigawa,GPE,-0.26315789,0.26315789,en,1.90000000,,-1,,,,,,
Valley,Valley,LOC,-0.05513784,0.24060150,en,1.90000000,,-1,,,,,,
Guinea,Guinea,GPE,-0.00657895,0.93421053,en,1.90000000,4022520-3,2420477,X,11.00000000,-10.00000000,AFRICA,Guinea,WAF
PITTSBURGH,PITTSBURGH,GPE,0.00000000,0.28947368,en,1.90000000,,-1,,,,,,
Diamond K Gypsum,Diamond K Gypsum,LOC,0.14354067,0.47846890,en,1.90000000,,-1,,,,,,
Great Basin,Great Basin,LOC,0.84210526,0.78947368,en,1.90000000,,-1,,,,,,
Belgium,Belgium,GPE,0.07894737,0.21929825,en,1.90000000,4005406-8,2802361,X,50.83332900,4.00000000,EUROPE,Belgium,WCE
West Texas,West Texas,LOC,0.12280702,0.19298246,en,1.90000000,,-1,,,,,,
Covington,Covington,GPE,0.02631579,0.31578947,en,1.90000000,,-1,,,,,,
Orbia,Orbia,GPE,-0.11315789,0.36052632,en,1.90000000,,-1,,,,,,
DELRAY BEACH,DELRAY BEACH,GPE,0.00000000,0.00000000,en,1.90000000,,-1,,,,,,
Shasta County,Shasta County,GPE,0.00000000,0.03508772,en,1.90000000,,-1,,,,,,
Virginia,Virginia,GPE,-0.21212121,0.85185185,en,1.80000000,4063592-2,6254928,X,37.54811900,-77.44674900,NORTH-AMERICA,United States,ENA
Turkey,Turkey,GPE,0.14309764,0.43995511,en,1.80000000,4061163-2,298795,X,39.05901000,34.91154900,EUROPE-AFRICA,Turkey,MED
MIAMI,MIAMI,GPE,-0.00312500,0.51701389,en,1.80000000,,-1,,,,,,
Cloud-Seeding,Cloud-Seeding,LOC,0.00000000,0.00000000,en,1.80000000,,-1,,,,,,
Patmos,Patmos,GPE,-0.02579365,0.04166667,en,1.80000000,,-1,,,,,,
Desert canyons,Desert canyons,LOC,-0.17824074,0.89062500,en,1.80000000,,-1,,,,,,
Western Visayas,Western Visayas,LOC,-0.02469136,0.22222222,en,1.80000000,,-1,,,,,,
Central Asia's,Central Asia's,LOC,0.13888889,0.32407407,en,1.80000000,,-1,,,,,,
Safi,Safi,GPE,-0.44444444,0.64814815,en,1.80000000,4482785-4,2537881,X,32.29944400,-9.23722200,EUROPE-AFRICA,Morocco,MED
Middle East,Middle East,LOC,0.06228956,0.67045455,en,1.80000000,,-1,,,,,,
Rocky Mountain,Rocky Mountain,LOC,0.05185185,0.63333333,en,1.80000000,,-1,,,,,,
Leros,Leros,GPE,-0.02579365,0.04166667,en,1.80000000,,-1,,,,,,
Bacolod City,Bacolod City,GPE,-0.02469136,0.22222222,en,1.80000000,,-1,,,,,,
The New Republic,The New Republic,GPE,-0.02525253,0.65656566,en,1.80000000,,-1,,,,,,
Vernon,Vernon,GPE,0.00000000,0.00000000,en,1.80000000,,-1,,,,,,
Konya province,Konya province,GPE,0.09722222,0.36111111,en,1.80000000,,-1,,,,,,
Oklahoma,Oklahoma,GPE,-0.22222222,0.44444444,en,1.80000000,4102053-4,4544379,X,35.49208900,-97.50328000,NORTH-AMERICA,United States,CNA
Venus,Venus,LOC,0.03787879,0.26515152,en,1.80000000,,-1,,,,,,
Lake Tahoe,Lake Tahoe,LOC,0.06984127,0.50436508,en,1.80000000,,-1,,,,,,
Geneva,Geneva,GPE,-0.06944444,0.55555556,en,1.80000000,4020137-5,2660646,X,46.20222200,6.14555500,EUROPE,Switzerland,WCE
Okanagan,Okanagan,GPE,0.00000000,0.00000000,en,1.80000000,,-1,,,,,,
Alanya,Alanya,GPE,0.23809524,0.71428571,en,1.80000000,4206264-0,324190,X,36.54375000,31.99981900,EUROPE-AFRICA,,MED
L.A.,L.A.,GPE,0.13333333,0.45000000,en,1.80000000,,-1,,,,,,
South Florida,South Florida,LOC,-0.33333333,0.50462963,en,1.80000000,,-1,,,,,,
Colo.,Colo.,GPE,-0.04861111,0.37210648,en,1.80000000,,-1,,,,,,
crisi,crisi,GPE,-0.09511785,0.49158249,en,1.80000000,,-1,,,,,,
the Colorado River Basin,the Colorado River Basin,LOC,0.00000000,0.00000000,en,1.80000000,,-1,,,,,,
Irelands,Irelands,GPE,-0.09259259,0.66049383,en,1.80000000,,-1,,,,,,
Lagos,Lagos,GPE,-0.09297840,0.07368827,en,1.80000000,4111183-7,2332459,X,6.45305900,3.39583000,AFRICA,,WAF
the Marmara Sea,the Marmara Sea,LOC,-0.27777778,0.27777778,en,1.80000000,,-1,,,,,,
Luxembourg,Luxembourg,GPE,0.55555556,0.55555556,en,1.80000000,,-1,,,,,,
Nunavut,Nunavut,GPE,-0.24509804,0.23529412,en,1.70000000,4248598-8,6091732,X,70.16783900,-90.73324900,NORTH-AMERICA,,NEN
Montezuma,Montezuma,GPE,0.43794118,0.53411765,en,1.70000000,,-1,,,,,,
Pokhara,Pokhara,GPE,0.14705882,0.53921569,en,1.70000000,4046492-1,1282898,X,28.26689000,83.96850900,ASIA,Nepal,TIB
SAN DIEGO,SAN DIEGO,GPE,0.00000000,0.00000000,en,1.70000000,,-1,,,,,,
Kelantan,Kelantan,GPE,-0.02941176,0.31176471,en,1.70000000,4097779-1,1733044,X,5.33333000,102.00000000,ASIA,Malaysia,SEA
CADIZ,CADIZ,GPE,0.08021390,0.41443850,en,1.70000000,,-1,,,,,,
Bukit Merah Dam,Bukit Merah Dam,GPE,0.32352941,0.45588235,en,1.70000000,,-1,,,,,,
TOKYO,TOKYO,GPE,-0.01307190,0.30718954,en,1.70000000,,-1,,,,,,
et al,et al,GPE,0.00000000,0.51470588,en,1.70000000,,-1,,,,,,
Yellow River,Yellow River,LOC,0.00000000,0.00000000,en,1.70000000,,-1,,,,,,
KS,KS,GPE,0.08021390,0.26737968,en,1.70000000,,-1,,,,,,
Kugaaruk,Kugaaruk,GPE,-0.24509804,0.23529412,en,1.70000000,,-1,,,,,,
Yemen,Yemen,GPE,-0.65546218,0.88655462,en,1.70000000,4073009-8,69543,X,15.50000000,47.50000000,ASIA,Yemen,ARP
South,South,LOC,0.21008403,0.33613445,en,1.70000000,,-1,,,,,,
Turlock Irrigation District,Turlock Irrigation District,GPE,0.00000000,0.00000000,en,1.70000000,,-1,,,,,,
SACRAMENTO,SACRAMENTO,GPE,0.05882353,0.58823529,en,1.70000000,,-1,,,,,,
Uganda,Uganda,GPE,0.00000000,0.00000000,en,1.70000000,4061457-8,226074,X,2.00000000,33.00000000,AFRICA,Uganda,SEAF
New Mexico,New Mexico,GPE,0.34826203,0.63146168,en,1.70000000,4042006-1,5481136,X,34.50034000,-106.49999900,NORTH-AMERICA,United States,WNA
Kan.,Kan.,GPE,0.43794118,0.53411765,en,1.70000000,,-1,,,,,,
Ocean,Ocean,LOC,0.03921569,0.25490196,en,1.70000000,,-1,,,,,,
Black Sea,Black Sea,LOC,0.09288194,0.89236111,en,1.60000000,,-1,,,,,,
the Great Plains,the Great Plains,LOC,0.75000000,1.38541667,en,1.60000000,,-1,,,,,,
South Texas,South Texas,LOC,0.15625000,0.20312500,en,1.60000000,,-1,,,,,,
Western US,Western US,LOC,0.00000000,0.00000000,en,1.60000000,,-1,,,,,,
the U.S. Southwest,the U.S. Southwest,LOC,-0.23307292,1.53125000,en,1.60000000,,-1,,,,,,
Moscow,Moscow,GPE,0.00000000,0.03125000,en,1.60000000,4074987-3,524901,X,55.75222200,37.61555500,EUROPE,Russia,WCE
Benin,Benin,GPE,-0.23863636,0.75142045,en,1.60000000,4005503-6,2395170,X,9.50000000,2.25000000,AFRICA,Benin,WAF
Latin America,Latin America,LOC,-0.06696429,0.21577381,en,1.60000000,,-1,,,,,,
New Zealand,New Zealand,GPE,0.13494318,0.78835227,en,1.60000000,,-1,,,,,,
SASKATOON,SASKATOON,GPE,0.47273516,1.15767045,en,1.60000000,,-1,,,,,,
Filly Mangassa,Filly Mangassa,LOC,0.00000000,0.00000000,en,1.60000000,,-1,,,,,,
Patagonia,Patagonia,GPE,0.00000000,1.25000000,en,1.60000000,,-1,,,,,,
Accor,Accor,GPE,0.53125000,0.75000000,en,1.60000000,,-1,,,,,,
Tanzania,Tanzania,GPE,-0.08035714,0.36011905,en,1.60000000,4078149-5,149590,X,-6.00000000,35.00000000,AFRICA,Tanzania,SEAF
South Australia,South Australia,LOC,0.10104167,0.84479167,en,1.60000000,,-1,,,,,,
the Pacific Northwest,the Pacific Northwest,LOC,-0.00082860,0.71164773,en,1.60000000,,-1,,,,,,
Wasatch County,Wasatch County,GPE,0.37500000,0.87500000,en,1.60000000,,-1,,,,,,
Portland,Portland,GPE,0.15625000,0.34375000,en,1.60000000,,-1,,,,,,
Rajasthan,Rajasthan,GPE,0.13323864,0.95350379,en,1.60000000,4076502-7,1258899,X,26.00000000,74.00000000,ASIA,India,SAS
Kyiv,Kyiv,GPE,0.06451613,0.27822581,en,1.55000000,4030522-3,703448,X,50.45472200,30.52388800,EUROPE,Ukraine,WCE
Switzerland,Switzerland,GPE,0.06451613,0.27822581,en,1.55000000,,-1,,,,,,
Northeast,Northeast,LOC,-0.13160173,1.62720058,en,1.50000000,,-1,,,,,,
North America,North America,LOC,0.07142857,0.88095238,en,1.50000000,,-1,,,,,,
Jordan,Jordan,GPE,0.11784848,1.55927273,en,1.50000000,,-1,,,,,,
TORONTO,TORONTO,GPE,0.49107143,0.85714286,en,1.40000000,,-1,,,,,,
Hollywood,Hollywood,GPE,-0.08801948,1.27779221,en,1.40000000,,-1,,,,,,
Atlantic,Atlantic,LOC,-0.26190476,1.02380952,en,1.40000000,,-1,,,,,,
Western Australia,Western Australia,LOC,-0.00216450,0.50865801,en,1.40000000,,-1,,,,,,
Caribbean,Caribbean,LOC,-0.61538462,0.65384615,en,1.30000000,,-1,,,,,,
Iowa,Iowa,GPE,-0.12820513,0.57692308,en,1.30000000,4109226-0,4862182,X,42.70000000,-93.50048900,NORTH-AMERICA,United States,CNA
TAMPA,TAMPA,GPE,0.52884615,0.87500000,en,1.30000000,,-1,,,,,,
Anadolu,Anadolu,GPE,0.09906760,0.30458430,en,1.30000000,,-1,,,,,,
the Northern Tier,the Northern Tier,LOC,-0.20512821,0.92307692,en,1.30000000,,-1,,,,,,
the Red Planet,the Red Planet,LOC,-0.03554779,0.30244755,en,1.30000000,,-1,,,,,,
Canadas,Canadas,LOC,0.02564103,0.63003663,en,1.30000000,,-1,,,,,,
Park City,Park City,GPE,0.31868132,0.85347985,en,1.30000000,,-1,,,,,,
NYC,NYC,GPE,0.12307692,0.41538462,en,1.30000000,,-1,,,,,,
Asia,Asia,LOC,-0.06410256,0.37179487,en,1.30000000,,-1,,,,,,
the Upper Midwest,the Upper Midwest,LOC,0.06846154,0.47769231,en,1.30000000,,-1,,,,,,
Ireland,Ireland,GPE,0.38461538,0.64102564,en,1.30000000,4027667-3,2963597,X,53.00000000,-8.00000000,EUROPE,Ireland,NEU
Haryana,Haryana,GPE,0.11153846,0.61410256,en,1.30000000,4239291-3,1270260,X,29.00000000,76.00000000,ASIA,India,SAS
Michigan,Michigan,GPE,0.00000000,0.26923077,en,1.30000000,4115139-2,5001836,X,44.25028900,-85.50033000,NORTH-AMERICA,United States,ENA
Staten Island,Staten Island,GPE,-0.25811966,0.71452991,en,1.30000000,,-1,,,,,,
Wivenhoe Dam,Wivenhoe Dam,LOC,0.01201923,0.47115385,en,1.30000000,,-1,,,,,,
Nevada,Nevada,GPE,0.00000000,0.23076923,en,1.30000000,4041996-4,5509151,X,39.25021000,-116.75118900,NORTH-AMERICA,United States,WNA
Bangladesh,Bangladesh,GPE,0.00000000,0.00000000,en,1.30000000,4130903-0,1210997,X,24.00000000,90.00000000,ASIA,Bangladesh,SAS
Cairns,Cairns,GPE,-0.15384615,0.30769231,en,1.30000000,4376462-9,2172797,X,-16.92304000,145.76625000,OCEANIA,Australia,NAU
PyPI,PyPI,LOC,0.00000000,0.00000000,en,1.30000000,,-1,,,,,,
Metro Vancouver,Metro Vancouver,GPE,0.07692308,0.23076923,en,1.30000000,,-1,,,,,,
Pyongyang,Pyongyang,GPE,0.08974359,0.39743590,en,1.30000000,4285178-6,1871859,X,39.03385000,125.75432000,ASIA,North Korea,EAS
Western Australia's,Western Australia's,LOC,0.12620192,0.41346154,en,1.30000000,,-1,,,,,,
Nebraska,Nebraska,GPE,0.09906760,0.30458430,en,1.30000000,4117792-7,5073708,X,41.50027900,-99.75066900,NORTH-AMERICA,United States,CNA
Easter Island,Easter Island,GPE,0.11188811,0.32167832,en,1.30000000,,-1,,,,,,
Saskatchewan,Saskatchewan,GPE,0.25394814,0.91882284,en,1.30000000,4105365-5,6141242,X,54.00000000,-106.90000000,NORTH-AMERICA,Canada,NWN
Tokyo,Tokyo,GPE,0.02702991,0.64166667,en,1.30000000,4078337-6,1850147,X,35.68950000,139.69171000,ASIA,Japan,EAS
East Anglia,East Anglia,GPE,0.00000000,0.00000000,en,1.30000000,,-1,,,,,,
Columbia,Columbia,GPE,-0.19230769,0.61538462,en,1.30000000,,-1,,,,,,
Toulouse,Toulouse,GPE,0.87393162,1.01709402,en,1.30000000,4060518-8,2972315,X,43.60425900,1.44367000,EUROPE-AFRICA,France,MED
Jerusalem,Jerusalem,GPE,0.52389277,1.07750583,en,1.30000000,4028586-8,281184,X,31.76904000,35.21632900,EUROPE-AFRICA,Israel,MED
the Snoqualmie River,the Snoqualmie River,LOC,0.00000000,0.00000000,en,1.30000000,,-1,,,,,,
D.C.,D.C.,GPE,-0.17692308,0.51538462,en,1.30000000,,-1,,,,,,
vadose,vadose,GPE,-0.12820513,0.38461538,en,1.30000000,,-1,,,,,,
Kerrville,Kerrville,GPE,0.00000000,0.00000000,en,1.30000000,,-1,,,,,,
Plains,Plains,LOC,0.00431624,0.48670940,en,1.30000000,,-1,,,,,,
North Hwanghae Province,North Hwanghae Province,GPE,0.00000000,0.19230769,en,1.30000000,,-1,,,,,,
Uruguay,Uruguay,GPE,-0.24125874,0.88811189,en,1.30000000,4062186-8,3439705,X,-33.00000000,-56.00000000,SOUTH-AMERICA,Uruguay,SES
Manitoba,Manitoba,GPE,0.15384615,0.53504274,en,1.30000000,4100106-0,6065171,X,55.90000000,-97.89999900,NORTH-AMERICA,Canada,NEN
Dawson Creek,Dawson Creek,GPE,-0.23076923,0.38461538,en,1.30000000,,-1,,,,,,
New England,New England,LOC,0.09965035,0.68473193,en,1.30000000,,-1,,,,,,
LONDON,LONDON,GPE,-0.05128205,0.60398860,en,1.30000000,,-1,,,,,,
Pradesh,Pradesh,GPE,-0.07211538,0.42307692,en,1.30000000,,-1,,,,,,
Colombia,Colombia,GPE,0.00000000,0.00000000,en,1.30000000,4031812-6,3686110,X,4.00000000,-72.00000000,SOUTH-AMERICA,Colombia,NWS
earth,earth,LOC,-0.76923077,0.82051282,en,1.30000000,,-1,,,,,,
Brooklyn,Brooklyn,GPE,-0.02185315,0.48164336,en,1.30000000,,-1,,,,,,
Planet Earth,Planet Earth,LOC,0.48717949,0.41025641,en,1.30000000,,-1,,,,,,
Quinte,Quinte,GPE,0.76923077,0.76923077,en,1.30000000,,-1,,,,,,
Pacific Ocean,Pacific Ocean,LOC,-0.17948718,0.48717949,en,1.30000000,,-1,,,,,,
Mississippi Valley,Mississippi Valley,LOC,0.76923077,0.76923077,en,1.30000000,,-1,,,,,,
Azteca,Azteca,GPE,-0.01282051,0.10256410,en,1.30000000,,-1,,,,,,
Uzbekistan,Uzbekistan,GPE,0.35754986,0.56125356,en,1.30000000,4062199-6,1512440,X,41.70754000,63.84911000,ASIA,Uzbekistan,WCA
Midwest,Midwest,LOC,-0.06075175,0.98339161,en,1.30000000,,-1,,,,,,
the Salt Lake Valley,the Salt Lake Valley,LOC,0.20979021,0.69930070,en,1.30000000,,-1,,,,,,
Venezuela,Venezuela,GPE,0.00000000,0.00000000,en,1.30000000,4062512-6,3625428,X,8.00000000,-66.00000000,SOUTH-AMERICA,Venezuela,NSA
the Middle East's,the Middle East's,LOC,0.16666667,1.16666667,en,1.20000000,,-1,,,,,,
Sacramento County,Sacramento County,GPE,-0.24583333,0.42638889,en,1.20000000,,-1,,,,,,
BAGHDAD,BAGHDAD,GPE,0.16666667,1.16666667,en,1.20000000,,-1,,,,,,
the United Kingdom,the United Kingdom,GPE,-0.33854167,1.28125000,en,1.20000000,,-1,,,,,,
Chicago,Chicago,GPE,-0.03661616,0.42424242,en,1.20000000,4009921-0,4887398,X,41.85002900,-87.65004900,NORTH-AMERICA,United States,ENA
Seneca,Seneca,GPE,0.25252525,0.87878788,en,1.20000000,,-1,,,,,,
San Francisco,San Francisco,GPE,-0.55555556,0.98611111,en,1.20000000,,-1,,,,,,
Seoul,Seoul,GPE,0.74621212,0.91792929,en,1.20000000,4122021-3,1835848,X,37.56826000,126.97782900,ASIA,South Korea,EAS
CBD,CBD,GPE,0.47869318,1.52272727,en,1.20000000,,-1,,,,,,
Jragung Dam,Jragung Dam,GPE,0.00000000,0.41666667,en,1.20000000,,-1,,,,,,
Mindo,Mindo,GPE,0.09537338,0.59126984,en,1.20000000,,-1,,,,,,
Soilless,Soilless,GPE,0.20833333,0.31250000,en,1.20000000,,-1,,,,,,
Nev.,Nev.,GPE,0.04545455,0.18181818,en,1.10000000,,-1,,,,,,
Minnesota,Minnesota,GPE,0.24242424,1.33333333,en,1.10000000,4101012-7,5037779,X,46.25023900,-94.25055000,NORTH-AMERICA,United States,CNA
Zanzibar,Zanzibar,GPE,0.00000000,0.00000000,en,1.10000000,4051641-6,148730,X,-6.16394000,39.19792900,AFRICA,Tanzania,SEAF
Mauritius,Mauritius,GPE,0.17045455,0.58522727,en,1.10000000,4074641-0,934292,X,-20.30000000,57.58332900,INDIAN,Mauritius,SIO
Maritimes,Maritimes,GPE,0.45643939,1.06250000,en,1.10000000,,-1,,,,,,
