keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'irrigation',en,Mitigation,#00ff00,#00ff00,3,0.1451640271442429
'drought climate change',en,Causes,#00ffff,#00ffff,3,0.0890544111675905
'drought weather',en,Hazard,#ff0000,#ff0000,3,0.06923563646258127
'rain making',en,Mitigation,#00ff00,#00ff00,3,0.0653908299886903
'drought reservoir',en,Hazard,#ff0000,#ff0000,3,0.0637944150343395
'dry soil',en,Impacts,#ffff00,#ffff00,3,0.059810154047073
'water management',en,Adaptation,#0000ff,#0000ff,3,0.0474338878326242
'cloud seeding',en,Mitigation,#00ff00,#00ff00,2,0.0396485279443988
'drought World Weather Attribution',en,Causes,#00ffff,#00ffff,3,0.033871130530059
'drought prayer',en,Mitigation,#00ff00,#00ff00,1,0.0082911221508157
